director_ids,director_names,birthYear,deathYear,predicted_gender,true_gender
nm0619417,Ramses Naguib,\N,\N,Male,male
nm5152514,Mark Elliott,\N,\N,Male,male
nm3790123,Bob Molinari,\N,\N,Male,male
nm0394119,Billy Hopkins,1958,\N,Male,male
nm1614409,Jonathan Schwartz,\N,\N,Male,male
nm2992427,Sosuke Yamazaki,\N,\N,Male,male
nm1856735,Tamer Ipek,\N,\N,Female,male
nm3274845,Dan Parris,\N,\N,Male,male
nm3340650,Miles Watts,\N,\N,Male,male
nm1746406,Charles Clemmons,1943,\N,Male,male
nm0200387,Jed Dannenbaum,\N,\N,Male,male
nm1347859,Tom Zembrod,\N,\N,Male,male
nm1028004,Alejandro Basile,\N,\N,Male,male
nm1526917,Aby Jose,\N,\N,Female,Male
nm0843051,Christopher Sykes,1945,\N,Male,male
nm0001771,Stella Stevens,1938,\N,Female,female
nm0601887,Stefan Moore,\N,\N,Male,male
nm2501480,Jon Price,\N,\N,Male,male
nm1238596,Nick Pezzillo,\N,\N,Male,male
nm0857352,Ulrich Thein,1930,1995,Male,male
nm1293001,Nancy D. Kates,\N,\N,Female,female
nm0713527,David Raynr,1961,\N,Male,male
nm1010180,Robert Eagle,\N,\N,Male,male
nm3313500,Stephen Belyeu,\N,\N,Male,male
nm1595340,Xin Lee,1969,\N,Female,Female
nm0401512,Bob Hulme,\N,\N,Male,Male
nm0000379,Kirsten Dunst,1982,\N,Female,Female
nm0003855,Peter Dashkewytch,\N,\N,Male,male
nm1363080,Avtar Bhogal,\N,\N,Male,male
nm2640936,Melissa Garza,\N,\N,Female,Female
nm4320359,Ken Davenport,\N,\N,Male,Male
nm0899573,Eriprando Visconti,1932,1995,Male,Male
nm0476982,Pero Kvesic,\N,\N,Male,male
nm1896291,Ashok Pati,\N,\N,Male,male
nm1047734,Michael Bate,\N,\N,Male,male
nm7455089,Jeong-Yeol Choi,\N,\N,Male,male
nm0327315,Gang Xia,1953,\N,Male,male
nm0437608,Beom-gu Kang,\N,\N,Male,male
nm0835688,Eric Stuart,1967,\N,Male,male
nm0741212,A.J. Rose Jr.,\N,\N,Male,male
nm1546963,Ji-yeong Kim,\N,\N,Male,female
nm1633016,Christophe Gaillard,\N,\N,Male,male
nm6827947,Maxwell Rousso,\N,\N,Male,male
nm0392325,Per Holst,1919,2008,Male,male
nm5484842,Ba Vu Nguyen,\N,\N,Female,male
nm1248193,Frank E. Flowers,\N,\N,Female,male
nm2371916,Morné Theunissen,\N,\N,Male,male
nm0286305,Rémo Forlani,1927,2009,Male,male
nm7476552,Jie Yuan,\N,\N,Male,male
nm1420871,Anton Linecker,\N,\N,Male,male
nm2027560,Glenn Buettner,\N,\N,Female,Male
nm0121845,Robert Burke,1984,\N,Male,Male
nm2794699,Lee Anne Schmitt,\N,\N,Female,Female
nm0460033,Elmar Klos,1910,1993,Male,male
nm3832296,Cash Michaels,\N,\N,Male,male
nm0860894,Christian Braad Thomsen,1940,\N,Female,male
nm1572911,Jonathan Landau,\N,\N,Male,male
nm5861172,Seth Scriver,\N,\N,Male,male
nm3233970,Ryan Standfest,\N,\N,Male,male
nm4141787,Adam LeHouillier,\N,\N,Male,male
nm1459463,Andrey Merzlikin,1973,\N,Male,male
nm3675336,Zoé Salicrup-Junco,\N,\N,Female,female
nm0371763,Justin Hayward,\N,\N,Male,male
nm6534785,Lorelei Pepi,\N,\N,Female,female
nm2116605,Bill James,\N,\N,Male,male
nm4379760,Nikolay Renard,\N,\N,Female,male
nm0024063,Manuel Amaro da Costa,1966,\N,Male,male
nm2288626,Andrei Rozen,\N,\N,Female,male
nm3462522,Hakan Kursun,\N,\N,Male,male
nm0294475,Erich Freund,1902,1958,Male,male
nm4193180,Jeremi Durand,\N,\N,Female,male
nm8666405,Arthur Trabsk,,,Male,male
nm5486112,Eyra Rahman,\N,\N,Female,Female
nm1311395,Maru Solores,1968,\N,Male,female
nm0399028,Ming-chuan Huang,\N,\N,Male,male
nm3144414,Chris Liliedahl,\N,\N,Female,male
nm6938869,John Piers,\N,\N,Male,male
nm1542490,Dominik Hartl,1983,\N,Male,male
nm1485308,Juan Delgado,\N,\N,Male,male
nm1958010,Uno Leies,\N,\N,Male,male
nm0317368,Adam Gierasch,\N,\N,Male,male
