director_ids,director_name,average_rating_value,average_rating_count,movies_produced,career_Length,CareerStartYear,Gender,birthYear,median_inter_event_time,average_inter_event_time,total_review_count_user,total_review_count_critic,total_metascore,median_metascore,total_awards_won,total_awards_nominated,total_gross_value,total_budget_value,average_runtime_of_movie,director_profession_primary,director_profession_secondary,director_profession_tertiary,director_known_titles_count,director_known_titles_average_rating_value,total_genre_Action,total_genre_Adult,total_genre_Adventure,total_genre_Animation,total_genre_Biography,total_genre_Comedy,total_genre_Crime,total_genre_Documentary,total_genre_Drama,total_genre_Family,total_genre_Fantasy,total_genre_Film_Noir,total_genre_Game_Show,total_genre_History,total_genre_Horror,total_genre_Music,total_genre_Musical,total_genre_Mystery,total_genre_News,total_genre_None,total_genre_Reality_TV,total_genre_Romance,total_genre_Sci_Fi,total_genre_Short,total_genre_Sport,total_genre_Talk_Show,total_genre_Thriller,total_genre_War,total_genre_Western,average_movie_per_year,num_genres_directed
nm0831557,Nicholas Stoller,6.52,120691.4,5,9,2008,Male,1976,2.0,2.0,1057,1131,311,62.0,0.0,0.0,413493284.8639273,203229738.36364806,102.2,0,0,1,4,6.58,0,0,1,1,0,5,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.56,7
nm0831690,Charles Stone III,5.6,20617.5,2,6,1999,Male,1966,2.0,2.0,248,125,120,60.0,0.0,0.0,123639027.70935598,77467837.72989076,111.0,1,0,0,8,6.02,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0.33,5
nm0833779,Colin Strause,4.55,85695.0,2,8,2003,Male,1976,3.0,3.0,1949,428,55,27.5,0.0,0.0,84062815.30033436,67399759.9689921,95.5,0,1,0,8,5.32,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0.25,4
nm0833780,Greg Strause,4.55,85695.0,2,8,2003,Male,1975,3.0,3.0,1949,428,55,27.5,0.0,0.0,84062815.30033436,67399759.9689921,95.5,0,1,0,8,5.4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0.25,4
nm0833889,Todd Strauss-Schulson,6.3,55861.0,1,15,1997,Male,1980,0.0,0.0,93,160,61,61.0,0.0,0.0,42371112.44871865,22979296.52726259,90.0,1,0,0,6,7.07,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,2
nm0834893,Susan Stroman,6.4,35598.0,1,1,2005,Female,1954,0.0,0.0,410,168,52,52.0,0.0,0.0,28344518.896914653,65823166.48186651,134.0,0,1,0,4,7.02,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,2
nm0837406,Sara Sugarman,4.6,23763.0,1,7,1998,Female,1965,0.0,0.0,105,73,33,33.0,0.0,0.0,44241395.07448405,22647557.48086087,89.0,0,1,0,4,6.08,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.14,4
nm0838198,Kevin Rodney Sullivan,5.7,16832.33,3,24,1982,Male,1958,3.5,3.5,281,183,164,56.0,0.0,0.0,266275623.5939455,114893913.4784328,111.67,1,0,0,4,7.12,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.12,3
nm0843640,István Szabó,7.1,10804.0,1,46,1959,Male,1938,0.0,0.0,112,93,65,65.0,0.0,0.0,11684703.804979922,27177068.97703304,104.0,1,0,0,8,7.48,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.02,3
nm0844896,Eduardo Sánchez,6.4,193705.0,1,1,1999,Male,1968,0.0,0.0,3418,379,81,81.0,0.0,0.0,248610108.88691932,106145.26743510053,81.0,1,0,0,4,5.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1
