director_ids,director_name,average_rating_value,average_rating_count,movies_produced,career_Length,CareerStartYear,Gender,birthYear,median_inter_event_time,average_inter_event_time,total_review_count_user,total_review_count_critic,total_metascore,median_metascore,total_awards_won,total_awards_nominated,total_gross_value,total_budget_value,budget_cur_AUD,budget_cur_CAD,budget_cur_EUR,budget_cur_GBP,budget_cur_INR,budget_cur_USD,average_runtime_of_movie,total_genre_Action,total_genre_Adult,total_genre_Adventure,total_genre_Animation,total_genre_Biography,total_genre_Comedy,total_genre_Crime,total_genre_Documentary,total_genre_Drama,total_genre_Family,total_genre_Fantasy,total_genre_Film_Noir,total_genre_Game_Show,total_genre_History,total_genre_Horror,total_genre_Music,total_genre_Musical,total_genre_Mystery,total_genre_News,total_genre_None,total_genre_Reality_TV,total_genre_Romance,total_genre_Sci_Fi,total_genre_Short,total_genre_Sport,total_genre_Talk_Show,total_genre_Thriller,total_genre_War,total_genre_Western,director_profession_primary,director_profession_secondary,director_profession_tertiary,director_known_titles_count,director_known_titles_average_rating_value,average_movie_per_year,num_countries_screened,num_genres_directed,num_languages_released
nm0687042,Paco Plaza,5.8,41745.5,2,14,1999,Male,1973,3.0,3.0,303,452,97,48.5,0.0,0.0,35997.0,12000000.0,0,0,0,0,0,1,82.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6,6.37,0.14,1,2,3
nm0687964,Jeremy Podeswa,7.1,1839.0,1,16,1992,Male,1962,0.0,0.0,19,42,60,60.0,0.0,0.0,634379.0,12000000.0,0,1,0,0,0,0,104.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,8.38,0.06,1,3,4
nm0688585,Jean-Marie Poiré,4.9,8050.5,2,25,1978,Female,1945,1.0,1.0,105,70,75,37.5,0.0,0.0,4780730.0,54000000.0,0,0,0,0,0,1,95.0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,6.22,0.08,3,3,3
nm0689187,Michael Polish,6.06,6228.4,5,17,1999,Male,1970,2.5,4.0,384,260,267,55.0,0.0,0.0,18103526.0,20880000.0,0,0,0,0,0,1,107.2,0,0,1,0,0,1,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,4,6.32,0.29,1,5,2
nm0689385,Jeff Pollack,5.0,5602.0,1,6,1994,Male,1959,0.0,0.0,63,33,19,19.0,0.0,0.0,6545360.0,30000000.0,0,0,0,0,0,1,95.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,6.82,0.17,1,2,1
nm0689852,John Polson,5.45,43994.5,2,11,1995,Male,1965,3.0,3.0,669,265,64,32.0,0.0,0.0,79661590.0,38500000.0,0,0,0,0,0,1,93.0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,4,6.48,0.18,1,4,1
nm0690597,Gillo Pontecorvo,8.1,38583.0,1,10,1957,Male,1919,0.0,0.0,243,132,95,95.0,0.0,0.0,52403.0,800000.0,0,0,0,0,0,1,121.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,8,7.65,0.1,2,3,3
nm0691547,Erik Poppe,7.1,5541.0,1,16,1998,Male,1960,0.0,0.0,31,100,57,57.0,0.0,0.0,47331.0,5284200.0,0,0,1,0,0,0,117.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,7.53,0.06,2,2,2
nm0697656,Gina Prince-Bythewood,7.13,15388.33,3,31,1984,Female,1969,7.0,7.0,209,245,200,70.0,0.0,0.0,79820312.0,38000000.0,0,0,0,0,0,1,118.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,3,7.13,0.1,1,4,2
nm0699932,Lucía Puenzo,6.8,4410.0,1,7,2007,Female,1976,0.0,0.0,21,89,62,62.0,0.0,0.0,414912.0,2000000.0,0,0,0,0,0,1,93.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,4,6.82,0.14,1,3,3
